rvote	stt	eth	inc	age	sex	edu	mar	kid
1	33	1	3	3	2	3	2	2
0	33	1	5	2	1	5	2	2
0	33	1	NA	3	1	NA	1	2
0	33	1	3	3	2	3	2	2
NA	33	1	NA	3	2	3	1	2
1	33	3	2	3	2	1	1	2
1	5	3	2	1	1	1	1	1
0	39	1	2	2	2	2	1	2
1	39	1	3	3	1	2	2	2
1	39	1	5	2	1	5	1	1
0	39	2	2	1	2	3	2	1
0	39	1	NA	4	2	5	2	2
1	39	1	4	1	2	5	2	2
1	39	1	NA	3	2	5	2	2
NA	39	3	2	2	2	5	2	2
0	39	2	3	2	2	2	2	2
0	39	1	5	2	2	5	1	1
0	36	1	3	2	1	2	1	1
0	36	2	3	3	1	2	1	2
0	36	2	2	4	2	1	2	2
0	36	2	2	3	2	2	2	2
0	36	1	3	4	2	2	1	2
0	14	1	2	2	1	2	1	2
1	14	3	NA	1	2	3	1	1
0	14	1	3	2	1	3	2	2
1	14	1	3	3	1	3	1	1
1	14	1	3	2	1	3	1	2
0	14	1	3	4	2	2	1	2
0	24	1	3	3	1	5	1	2
0	24	1	2	4	1	1	2	2
1	24	1	3	1	1	2	2	2
0	15	1	3	2	1	2	2	2
1	15	1	3	3	2	2	1	1
1	15	1	2	3	2	3	1	1
1	15	1	NA	2	2	3	1	1
1	15	1	2	4	1	5	2	2
1	15	1	3	2	2	4	1	1
1	15	1	2	4	1	2	1	1
0	15	1	4	2	2	4	1	1
0	15	1	3	2	2	2	2	2
0	15	1	3	3	2	2	1	2
1	19	1	2	3	1	3	1	2
1	25	1	2	3	2	2	1	2
1	25	1	1	1	1	1	2	1
0	23	1	3	1	1	2	2	1
1	23	1	3	2	1	5	1	2
1	23	1	4	2	1	3	1	1
1	23	1	1	4	1	5	2	2
1	23	1	3	3	2	2	1	2
1	23	1	3	2	1	2	2	2
0	23	1	4	3	2	5	1	2
1	23	1	2	3	1	3	2	2
0	23	1	4	1	1	3	1	1
0	23	1	3	3	2	2	1	2
NA	34	1	4	3	1	5	1	1
NA	34	1	NA	1	2	2	2	2
1	34	1	2	1	1	4	2	2
NA	48	1	3	3	1	2	1	2
1	44	1	2	4	1	4	1	2
1	44	3	2	1	2	5	1	2
1	44	1	2	4	2	2	2	2
0	44	1	1	4	2	1	2	2
NA	44	1	2	4	2	2	1	2
1	1	2	3	3	1	4	1	1
1	1	1	3	1	2	3	2	2
1	1	2	2	2	2	2	1	2
1	1	1	4	2	1	3	1	1
1	1	1	1	1	2	3	2	2
NA	1	1	2	3	2	3	2	1
1	50	1	NA	2	1	3	1	2
0	50	1	1	1	2	2	2	1
0	50	1	1	1	1	2	2	2
0	50	1	3	2	1	3	2	1
1	50	1	4	3	1	3	1	2
NA	50	1	1	4	2	2	2	2
0	50	1	1	1	2	1	1	1
0	18	1	3	1	2	2	1	1
0	18	1	1	3	2	1	2	2
0	18	1	3	3	1	1	2	2
1	18	1	4	3	2	2	2	2
1	18	1	2	2	2	5	1	1
1	18	1	3	3	1	4	2	1
0	18	1	4	3	2	4	1	2
1	44	1	5	3	2	4	1	2
1	44	1	2	2	2	3	2	1
1	44	1	3	3	1	4	2	2
NA	44	1	4	2	2	3	2	2
0	44	3	2	3	2	1	1	2
1	21	1	4	3	2	3	1	2
0	21	1	5	3	2	4	1	2
1	21	1	5	3	1	2	2	2
0	21	1	2	2	1	2	2	1
0	21	1	4	2	2	4	1	1
0	21	1	4	3	1	3	1	1
0	21	1	4	1	1	4	1	2
NA	21	2	3	3	1	2	1	2
0	21	1	3	2	2	3	2	1
0	21	2	3	2	1	2	1	2
NA	21	1	4	3	1	4	1	1
NA	21	4	NA	3	2	2	2	2
0	21	1	5	3	2	5	1	2
0	8	1	3	3	1	1	1	2
0	8	1	2	4	1	3	1	2
NA	8	1	3	1	1	5	2	2
0	8	1	3	1	1	4	2	2
0	8	1	3	2	1	5	1	2
0	6	3	1	1	2	2	2	1
1	6	1	1	2	1	2	2	2
1	6	1	4	2	2	5	1	1
0	6	1	4	1	2	3	2	1
1	6	1	3	1	1	4	1	2
1	6	1	5	2	1	4	1	1
0	6	1	2	1	2	5	2	2
1	6	1	3	4	1	2	1	2
1	49	1	2	2	2	3	1	2
1	49	1	3	4	2	2	1	2
0	49	1	3	3	1	5	1	2
1	49	1	2	1	2	1	1	2
0	49	1	1	4	2	1	1	2
1	49	1	NA	1	2	3	2	2
0	49	1	3	1	1	3	2	1
1	49	1	5	3	2	3	1	2
1	10	3	1	4	2	2	1	2
NA	10	3	NA	4	1	NA	1	2
0	10	2	2	4	2	3	2	1
1	10	3	4	3	2	5	1	1
1	10	1	4	4	1	4	1	2
NA	51	1	1	3	1	1	2	2
1	28	1	3	3	1	5	2	2
0	28	1	1	1	1	3	2	2
1	14	1	3	2	2	1	1	1
0	14	1	2	4	2	2	2	2
1	14	1	2	1	1	3	1	1
0	14	3	1	1	1	3	2	2
1	14	1	NA	3	2	4	1	1
0	14	4	1	2	2	3	2	1
0	14	1	2	2	1	3	2	2
0	5	1	3	3	1	3	1	1
0	5	4	2	1	2	4	2	1
0	5	4	3	2	1	3	2	2
0	5	3	3	2	1	1	1	1
1	5	1	4	2	1	3	1	1
NA	5	3	2	2	1	2	2	1
NA	5	1	4	3	2	3	2	1
0	5	1	4	1	1	5	1	2
0	23	2	1	1	2	3	2	2
1	23	1	3	3	1	3	2	2
0	23	4	4	3	2	4	1	2
1	23	3	1	1	1	1	2	1
0	23	2	3	2	2	3	2	1
1	23	1	NA	2	1	3	1	NA
1	23	1	3	3	2	5	1	1
0	23	2	2	4	2	2	1	2
0	23	2	2	1	2	3	2	2
NA	26	2	2	1	2	1	2	1
0	26	1	5	1	1	3	2	1
0	26	3	1	2	2	3	2	1
